Country Name,Region,Income Group,Year,CO2
Aruba,Latin America & Caribbean,High income,1992,1463.133
Afghanistan,South Asia,Low income,1992,1393.46
Angola,Sub-Saharan Africa,Lower middle income,1992,5196.139
Albania,Europe & Central Asia,Upper middle income,1992,2515.562
Andorra,Europe & Central Asia,High income,1992,407.037
United Arab Emirates,Middle East & North Africa,High income,1992,58136.618
Argentina,Latin America & Caribbean,Upper middle income,1992,121352.031
Armenia,Europe & Central Asia,Upper middle income,1992,5826.863
American Samoa,East Asia & Pacific,Upper middle income,1992,
Antigua and Barbuda,Latin America & Caribbean,High income,1992,264.024
Australia,East Asia & Pacific,High income,1992,267984.36
Austria,Europe & Central Asia,High income,1992,56658.817
Azerbaijan,Europe & Central Asia,Upper middle income,1992,56240.779
Burundi,Sub-Saharan Africa,Low income,1992,216.353
Belgium,Europe & Central Asia,High income,1992,111968.178
Benin,Sub-Saharan Africa,Low income,1992,898.415
Burkina Faso,Sub-Saharan Africa,Low income,1992,630.724
Bangladesh,South Asia,Lower middle income,1992,17748.28
Bulgaria,Europe & Central Asia,Upper middle income,1992,54205.594
Bahrain,Middle East & North Africa,High income,1992,10901.991
"Bahamas, The",Latin America & Caribbean,High income,1992,1793.163
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,1992,15053.035
Belarus,Europe & Central Asia,Upper middle income,1992,87417.613
Belize,Latin America & Caribbean,Upper middle income,1992,355.699
Bermuda,North America,High income,1992,462.042
Bolivia,Latin America & Caribbean,Lower middle income,1992,6655.605
Brazil,Latin America & Caribbean,Upper middle income,1992,220705.729
Barbados,Latin America & Caribbean,High income,1992,979.089
Brunei Darussalam,East Asia & Pacific,High income,1992,5214.474
Bhutan,South Asia,Lower middle income,1992,216.353
Botswana,Sub-Saharan Africa,Upper middle income,1992,2779.586
Central African Republic,Sub-Saharan Africa,Low income,1992,216.353
Canada,North America,High income,1992,440978.752
Switzerland,Europe & Central Asia,High income,1992,42793.89
Channel Islands,Europe & Central Asia,High income,1992,
Chile,Latin America & Caribbean,High income,1992,32474.952
China,East Asia & Pacific,Upper middle income,1992,2690455.898
Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,1992,4099.706
Cameroon,Sub-Saharan Africa,Lower middle income,1992,3788.011
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,1992,2816.256
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1992,1279.783
Colombia,Latin America & Caribbean,Upper middle income,1992,62049.307
Comoros,Sub-Saharan Africa,Lower middle income,1992,66.006
Cabo Verde,Sub-Saharan Africa,Lower middle income,1992,106.343
Costa Rica,Latin America & Caribbean,Upper middle income,1992,3791.678
Cuba,Latin America & Caribbean,Upper middle income,1992,31294.178
Curaçao,Latin America & Caribbean,High income,1992,
Cayman Islands,Latin America & Caribbean,High income,1992,311.695
Cyprus,Europe & Central Asia,High income,1992,5181.471
